,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,N_days,NetProfit_EUR,EndBalance_EUR,MC_End_P5,MC_End_P50,MC_End_P95,MC_CAGR_P5,MC_CAGR_P50,MC_MaxDD_P50,MC_MaxDD_P95,MC_P_Loss,MC_P_DD20,YearConsistency,DSR,Sharpe_CI_lo,Sharpe_CI_hi,Score,DQ,kind
C2-IV-SPX,0.07919894495946767,0.10000470498524207,0.8123519327794217,1.0531278353042384,-0.15931586729752878,0.49711900203612774,1.1517590972924998,0.5422826729745712,3382.0,178127.10103792127,278127.10103792127,149715.89107203315,268020.3438952655,473250.3441445234,0.030527494296899306,0.07622651809017311,-0.18251222972391346,-0.2935329949246563,0.0022,0.3668,0.8571428571428571,0.9538112219988956,0.2929853890188559,1.3157421672725045,0.8071394648738662,False,combo
C1-EW-SPX,0.10671576183641229,0.1262530680758211,0.8667695150356614,1.0466510811892935,-0.23162585681449266,0.46072473645237333,1.1689877561643627,0.5309760374050263,3422.0,296261.80505790765,396261.80505790765,184975.64124446033,379156.3903590067,755049.9519871388,0.046334679566468716,0.10312530577820234,-0.2199382949804245,-0.3471523454969181,0.0016,0.6448,0.7857142857142857,0.9680601437867307,0.3327642771279359,1.3544125151775792,0.8048814324163379,False,combo
C5-ERC-SPX,0.06149897165537066,0.07588226195233727,0.8245982762141264,1.0092697151191734,-0.1253120854402262,0.49076648464768896,1.1661208058168577,0.5454258675078865,3170.0,111861.39691967436,211861.39691967436,139153.12683967294,209064.65908142252,309918.4604895332,0.02661359709758283,0.06037820687868867,-0.13428451426950272,-0.21977931177924642,0.0016,0.0946,0.8461538461538461,0.952111751826558,0.3220776690774302,1.3734825842264256,0.8003756707720053,False,combo
C6-IV-SPX,0.04673356442103982,0.056031315963648194,0.8432595848634646,0.9999709014952268,-0.1078883880680086,0.4331658416435031,1.1894443918650208,0.5337078651685393,3382.0,84592.3645745854,184592.3645745854,127020.08490413128,181247.3951266047,251376.17548480982,0.017981189021119327,0.04530825029290064,-0.11383493545783346,-0.20020915437308137,0.0028,0.0504,0.7857142857142857,0.9638655432420197,0.29776733032181696,1.3848933840096758,0.7895139866217901,False,combo
C3-IV-SPX,0.07616319253556947,0.09560566116956767,0.8157953339251123,1.0109400646279079,-0.1539712230803233,0.4946586187461592,1.1552103963402003,0.547604967474867,3382.0,167808.7722486459,267808.7722486459,148455.85006652802,257791.3514439377,434423.0484623369,0.029878707779411776,0.07311058121828196,-0.17278237437335953,-0.28187747930264184,0.0022,0.3036,0.7857142857142857,0.953895542660457,0.27547636581263835,1.2966341287014274,0.7855680818871776,False,combo
BH-SPX,0.13327922523713154,0.16860637373276313,0.8267868976238127,1.0104913259358204,-0.33971831651442563,0.39232275316974863,1.1722106419063059,0.548801870251315,3422.0,446840.88375321915,546840.8837532192,203299.04172992267,529460.8520525321,1244248.6932744752,0.053638032228118984,0.13058691343758433,-0.30926972088856913,-0.4790185600944173,0.0024,0.914,0.8571428571428571,0.959303112027339,0.28196031090816387,1.3368554928402805,0.7812622151225274,False,benchmark
C4-ERC-SPX,0.06428338215755036,0.08230228523708413,0.7983393011861126,0.9579731665853228,-0.15747330872886045,0.4082176381283403,1.1591328972785133,0.5457413249211357,3170.0,118959.31047337726,218959.31047337726,136234.2859865832,215570.6137916422,337066.6947736884,0.024884995143293964,0.06296457517720755,-0.1561406969772376,-0.25690819184851577,0.0034,0.2074,0.8461538461538461,0.9410863948947865,0.2808475779657926,1.3637549995306593,0.7556037453072381,False,combo
VIXTS-SPX,0.06878629593169472,0.0906643349756175,0.7792606053837896,0.9472098594483368,-0.1642959372523256,0.41867313995751926,1.153632343785344,0.5388661601402689,3422.0,146785.56931034362,246785.56931034362,141335.89048920537,239756.14046750354,401521.687464568,0.02580488575246135,0.0665142889727961,-0.1733703998297546,-0.27955616843714387,0.0028,0.3108,0.8571428571428571,0.9413870594226048,0.2434746463223337,1.296948712971742,0.7500709643647393,False,family
C3-ERC-SPX,0.07908316455179731,0.10608298949390495,0.7708250983278543,0.9643600829791039,-0.18935447572332798,0.41764613299845266,1.143092733343111,0.5460567823343848,3170.0,160501.28339900315,260501.28339900315,144184.98330547017,257894.8806590084,457534.30443814764,0.029516686351778,0.0782209089533249,-0.190161079524366,-0.30119142947582467,0.0032,0.4258,0.7692307692307693,0.928982693096108,0.25146930806441387,1.3139169783218112,0.7348155598650861,False,combo
C1-IV-SPX,0.09169837152428584,0.12303633215858605,0.7751254919029903,0.9046977711347147,-0.23036129860628551,0.39806326878287446,1.1544606657136942,0.5272028385570668,3382.0,224610.02085653355,324610.02085653355,153325.22549624636,313475.2253272368,609329.0487656903,0.0323583158706025,0.08886278626354471,-0.2270784046508445,-0.35818816289142896,0.003,0.6836,0.7857142857142857,0.9352565667930599,0.22554983954342492,1.2832525415585563,0.7210377226307211,False,combo
C6-ERC-SPX,0.046183365638015283,0.06586602102257041,0.7184993199873775,0.8802883021446956,-0.1300805797640785,0.35503659133266513,1.14484062142274,0.5391167192429022,3170.0,76463.0600195161,176463.0600195161,118328.96160297019,173352.91835822767,249964.56826354802,0.013468822181309093,0.04470553657658116,-0.1364761598345165,-0.23834550621603934,0.0088,0.129,0.8461538461538461,0.9029898366646869,0.17425020581233983,1.280126755057222,0.6958888901084974,False,combo
C1-ERC-SPX,0.08868114142754746,0.12590458096321322,0.7383148715372413,0.8719093502091497,-0.23541024288552714,0.3767089330546692,1.1450156033090648,0.5201892744479495,3170.0,191197.3218916917,291197.3218916917,145735.89491581114,288207.11330097885,567697.8001046146,0.03039267871955741,0.08778821130763903,-0.2287303974961385,-0.36142398784535174,0.0056,0.7002,0.7692307692307693,0.9110121046095752,0.2277425899044415,1.2938306136993296,0.6913054296730082,False,combo
TSMOM-SPX,0.08055590223575582,0.12361852368739934,0.6891182798101835,0.7347289179226332,-0.2530103357021104,0.3183897685926982,1.148368467721152,0.4488603156049094,3422.0,186357.2311321082,286357.2311321082,133969.67423513005,270457.3271725542,541743.509310293,0.02176942817219755,0.07601976070340222,-0.24250773623344618,-0.3918774913142853,0.0108,0.7688,0.7857142857142857,0.888502749778959,0.1497951121058945,1.1955682467131288,0.6298811502047201,False,family
TOM-SPX,0.05356181962570439,0.08988735982075544,0.6254035382104236,0.5176009454328752,-0.13400566660880864,0.3996981693472923,1.2171446044090077,0.17679719462302748,3422.0,103099.44400395095,203099.44400395095,125669.12122048814,192036.49624946382,299309.0225079105,0.016968043451248794,0.04922518284907873,-0.1500127665916811,-0.24532284740758484,0.004,0.1548,0.7857142857142857,0.8487852918873265,0.17442256324659497,1.024779947515102,0.606714978670417,False,family
REV-SPX,0.04347590877376706,0.07406485956577318,0.6118933933648548,0.3341530828569096,-0.1955300800402282,0.2223489540065772,1.2934474027389529,0.09468147282291058,3422.0,78229.51300717183,178229.51300717183,106205.08792720521,178093.6445294051,277585.5955060929,0.004443173456661953,0.04341730888665152,-0.1877576623556947,-0.3381464750228735,0.0336,0.4292,0.7142857142857143,0.8258310255954935,0.0214449176527242,1.2384481248854828,0.5320784005440218,False,family
ON-SPX,0.01580892928685862,0.07472027062082266,0.2474465227745174,0.27687667271988836,-0.20653981118590503,0.07654180177703906,1.0561703836400664,0.5099357101110462,3422.0,23737.970695491706,123737.9706954917,74123.91583198239,123663.13767482794,195772.16803565616,-0.021809176850869923,0.015763672992078592,-0.22269130087722738,-0.41593059995217796,0.2356,0.6118,0.5714285714285714,0.359339580423377,-0.29307315134671613,0.8409568322374408,0.26548723434944865,True,family
