,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,Trades,WinRate_t,CRV,Expectancy_EUR,NetProfit_EUR,N_days,EndBalance_EUR,AvgWin_EUR,AvgLoss_EUR,RoundTrips_pa,ContinuousSleeve
TSMOM252|LS|VT,0.05992934020956797,0.15773255629956567,0.4483687123736671,0.5452023668688164,-0.31351996159222906,0.1911499985685549,1.0845254726573479,0.5447106954997077,45,0.28888888888888886,5.891784249202588,2352.4393762440395,120416.67429033786,3422,220416.67429033786,13986.504746643513,-2373.8996804807457,6.397762128782105,False
TSMOM252|LS|raw,0.05434619748513092,0.16878286959384992,0.39837949989940186,0.4675514710706185,-0.36210113340776706,0.15008568731523667,1.0795153102658666,0.5450029222676798,45,0.2222222222222222,7.8000145688423865,2189.6409848808526,105162.39182364714,3422,205162.39182364714,17873.55388947283,-2291.476987859713,3.2411575562700965,False
TSMOM252|LF|VT,0.10352160196508464,0.13155347671214482,0.8151686021836951,0.9019985896912115,-0.19711233546815488,0.5251908852848503,1.1720000063947242,0.47311513734658095,23,0.4782608695652174,9.144544820884319,6943.729992292143,281010.22657480143,3422,381010.22657480143,16485.3467445078,-1802.7520305722107,4.1397193422734135,False
TSMOM252|LF|raw,0.09955513826949747,0.12926349041057117,0.7993021663818429,0.8839601439809818,-0.21952452259946398,0.4535034951477469,1.168932674744048,0.4734073641145529,23,0.391304347826087,11.404380466409306,6705.891815163265,262828.0530719171,3422,362828.0530719171,19843.99688214704,-1740.032870754878,1.6205787781350482,False
REV|z0.75|h1,0.0452538334866841,0.06218148971639475,0.7430517754813268,0.3861541582984992,-0.1734192892261437,0.26095040343333326,1.4064138391271954,0.07627118644067797,183,0.7486338797814208,0.6439371645684376,351.988994185999,82397.72569206584,3422,182397.72569206584,982.4528005604359,-1525.6966900161278,13.480268927214263,False
REV|z0.75|h3,0.051535689183665134,0.0768461413032492,0.692467334360689,0.4552122531316312,-0.20128708257773942,0.25603078212314717,1.2790189688924891,0.12916423144360023,133,0.7593984962406015,0.635736952931873,546.608548972625,97859.22232618436,3422,197859.22232618436,1434.9026814599529,-2257.0698066905043,9.760304004676994,False
REV|z0.75|h5,0.062415440073070316,0.08718550824167602,0.7383092075233675,0.5214032170970075,-0.1861068847433831,0.33537415963484096,1.2607487748439952,0.1706604324956166,119,0.7563025210084033,0.6653806288613675,745.9658961885656,127541.64819084766,3422,227541.64819084766,1912.4889540463075,-2874.2780764733925,8.729026600409238,False
REV|z1.0|h1,0.027736216264458546,0.05597349312433489,0.5169088646994688,0.22307631003845865,-0.17415567746271343,0.1592610511959729,1.3255514063525282,0.05026300409117475,126,0.6904761904761905,0.756137715421527,319.6135816286978,44992.45733791002,3422,144992.45733791002,1136.89809731701,-1503.559568752921,9.281496638409822,False
REV|z1.0|h3,0.05610829069559342,0.06980164106181164,0.817100501443355,0.4577873252781028,-0.17862814391923976,0.31410666575005536,1.4126067680592564,0.09205143191116306,106,0.7452830188679245,0.8589288783206055,732.7053577510227,109867.75870424954,3422,209867.75870424954,1632.8382599405986,-1901.0168375444027,7.771411867874891,False
REV|z1.0|h5,0.054150121620498703,0.07976952401826133,0.7012285163655985,0.42750080884988245,-0.2051606700992915,0.2639400699670736,1.2940616584498292,0.12215078901227353,95,0.7578947368421053,0.660011084387463,811.6031110816715,104644.89200775046,3422,204644.89200775046,2075.3145774060094,-3144.363218281475,6.961122478807366,False
