,Baseline,B: Regime-Gate+Richtung,C: Regime-TP (VWAP/1/2sd),D: skip erste 30min,D+B: skip30 + Regime
2013-04-19,91810.19144335556,82951.56427996239,90996.32349703532,95457.2608147549,84870.9569651136
2013-04-22,91879.35100825514,83014.05074255605,91064.86998453937,95017.23260486417,84479.72831528311
2013-04-23,91787.6245542509,82931.17483601575,90973.95665617587,95056.38412920105,84514.53789717089
2013-04-24,91384.10540853288,82566.5906452195,90574.01457846373,94638.49477750322,84142.99288444575
2013-04-25,91763.92684557338,82909.76368357454,90950.46902009695,94839.4460780362,84321.65848865488
2013-04-26,91763.92684557338,82909.76368357454,90950.46902009695,94839.4460780362,84321.65848865488
2013-04-29,91614.16811696142,82774.45494924294,90802.03785465616,94839.4460780362,84321.65848865488
2013-04-30,91327.76540499955,82515.68680381414,90518.1740110197,94477.5185796644,83999.86910483404
2013-05-01,90919.51597699289,81706.58414972613,90455.61210904703,94477.5185796644,83017.92608653409
2013-05-02,90919.51597699289,81706.58414972613,90455.61210904703,94477.5185796644,83017.92608653409
2013-05-03,90919.51597699289,81706.58414972613,90455.61210904703,94477.5185796644,83017.92608653409
2013-05-06,90549.89075395989,82031.94754302352,90079.53022753775,94047.69014759564,83298.42035476753
2013-05-07,90458.22587234741,82323.7063684926,89907.54840394379,93806.1378181985,83499.59847985653
2013-05-08,90048.72980659317,82432.09562475124,89500.54520442295,93806.1378181985,83499.59847985653
2013-05-09,90008.30927021551,82585.4679758654,89152.44093912176,93279.25833144726,83466.80947602446
2013-05-10,90008.30927021551,82585.4679758654,89152.44093912176,93279.25833144726,83466.80947602446
2013-05-13,89663.47780251989,82874.44404241859,88638.23767303232,93193.61564829721,84168.75431613116
2013-05-14,89663.47780251989,82874.44404241859,88638.23767303232,93193.61564829721,84168.75431613116
2013-05-15,90236.7682195949,82927.7065508336,88995.82397468672,93565.43702386653,84325.53220690481
2013-05-16,91085.07839775778,83827.51347753346,89601.2418974937,94148.14809351752,84972.93358944154
2013-05-17,91085.07839775778,83827.51347753346,89601.2418974937,94148.14809351752,84972.93358944154
2013-05-20,90670.9295644889,83466.64985358335,88917.50932499785,93807.9308705598,84458.70824818176
2013-05-21,90623.37161265605,83354.21573904812,89004.68790670241,93350.13620314901,84126.26800020406
2013-05-22,90547.24129684217,83277.0539002383,89351.69513255781,93136.23180984506,83926.29509959377
2013-05-23,89765.90877538448,82558.45585604025,88580.67898392033,92689.8153332268,83524.02328522105
2013-05-24,89765.90877538448,82558.45585604025,88580.67898392033,92689.8153332268,83524.02328522105
2013-05-28,89517.75384895463,82330.22569808149,88335.80058658392,92433.57736250265,83293.12384760345
2013-05-29,89823.4716795189,82611.39693962934,88637.48185264939,92370.64527634378,83236.4149091853
2013-05-30,89823.4716795189,82611.39693962934,88637.48185264939,92370.64527634378,83236.4149091853
2013-05-31,89823.4716795189,82611.39693962934,88637.48185264939,92370.64527634378,83236.4149091853
2013-06-03,89802.3420439554,82591.96383736678,88616.63120355073,92348.91645608156,83216.83478074273
2013-06-04,89275.30573460466,82107.2441428451,88096.55365107715,91806.93468819256,82728.4478135384
2013-06-05,88908.90424825068,81770.2616363522,87734.98996966702,91430.14295333864,82388.91577841158
2013-06-06,88442.96163237935,81341.73032186268,87275.19945626953,91430.14295333864,82388.91577841158
2013-06-07,88442.96163237935,81341.73032186268,87275.19945626953,91430.14295333864,82388.91577841158
2013-06-10,87886.18428336602,80829.65754482236,86725.7735518109,90465.59944344025,81519.75281492165
2013-06-11,87481.61744321033,80457.57404375306,86326.54843523527,90197.5223537635,81278.18499002204
2013-06-12,87481.61744321033,80457.57404375306,86326.54843523527,90197.5223537635,81278.18499002204
2013-06-13,87255.18475892067,80249.32201327378,86103.10546905622,90197.5223537635,81278.18499002204
