date,dir,entry,exit,contracts,reason,pnl_gross,pnl_net,bar,q
2020-05-20,1,9458.952630357322,9453.2,2,BE,-230.1052142928529,-250.1052142928529,193,
2020-05-21,1,9490.310225020632,9475.0,2,SL,-612.4090008252824,-632.4090008252824,25,
2020-05-26,-1,9545.930288172769,9534.241495941895,3,TP,701.3275338524545,686.3275338524545,17,
2020-05-28,1,9428.450025067887,9448.402713994306,2,TP,798.1075570567918,788.1075570567918,36,
2020-05-28,-1,9452.74,9462.79,3,SL,-603.0000000000655,-633.0000000000655,38,
2020-06-02,-1,9591.424136119214,9599.12,3,SL,-461.75183284718514,-491.75183284718514,32,
2020-06-02,-1,9600.19,9603.73,4,SL,-283.19999999992433,-323.19999999992433,37,
2020-06-02,1,9585.468422104228,9573.52,2,SL,-477.936884169103,-497.936884169103,75,
2020-06-03,-1,9684.382336460907,9696.65,2,BE,-490.7065415637044,-510.7065415637044,21,
2020-06-03,1,9678.938574014623,9673.16,2,BE,-231.14296058491163,-251.14296058491163,53,
2020-06-03,1,9675.891733498072,9693.287315079056,2,TP,695.8232632393629,685.8232632393629,84,
2020-06-03,1,9679.3166660309,9674.89,2,BE,-177.06664123601513,-197.06664123601513,135,
2020-06-04,1,9710.528831187692,9704.17,2,BE,-254.35324750767904,-274.35324750767904,92,
2020-06-08,1,9806.559750735152,9782.96,2,SL,-943.9900294061226,-963.9900294061226,18,
2020-06-08,-1,9797.034819852552,9813.3,1,SL,-325.3036029489522,-335.3036029489522,102,
2020-06-09,1,9883.747717586812,9901.194022385282,2,TP,697.8521919388004,687.8521919388004,49,
2020-06-09,-1,9908.16,9915.44,4,SL,-582.4000000000524,-622.4000000000524,54,
2020-06-10,1,10042.581091348948,10058.186555352264,2,TP,624.2185601326491,614.2185601326491,21,
2020-06-10,1,10041.603712109763,10057.818349180285,2,TP,648.5854828208539,638.5854828208539,28,
2020-06-10,-1,10061.7,10067.58,4,SL,-470.39999999993597,-510.39999999993597,32,
2020-06-10,1,10047.01516767909,10034.58,2,SL,-497.4067071636091,-517.4067071636091,53,
2020-06-10,-1,10065.328673280334,10044.697290191372,1,TP,412.6276617792246,407.6276617792246,82,
2020-06-10,1,10044.581461245594,10026.49,2,SL,-723.6584498237789,-743.6584498237789,87,
2020-06-10,-1,10064.317470517532,10067.77,1,BE,-69.0505896493778,-79.0505896493778,129,
2020-06-10,-1,10065.533421105067,10072.99,2,BE,-298.2631557973218,-318.2631557973218,218,
2020-06-11,-1,9919.70225442321,9935.22,1,SL,-310.3549115357964,-320.3549115357964,29,
2020-06-15,1,9521.660597858525,9553.2203142685,1,TP,631.19432819949,626.19432819949,23,
2020-06-15,-1,9556.27,9573.89,1,SL,-352.3999999999796,-362.3999999999796,26,
2020-06-15,-1,9605.505559134423,9635.03,1,SL,-590.4888173115614,-600.4888173115614,104,
2020-06-16,-1,9976.563419052629,9985.45,3,SL,-533.1948568423104,-563.1948568423104,13,
2020-06-16,-1,9988.13,9995.82,4,SL,-615.2000000000407,-655.2000000000407,15,
2020-06-16,1,9965.66497731986,9991.113281686597,1,TP,508.9660873347384,503.9660873347384,25,
2020-06-16,1,9976.7532168204,9998.051333495452,2,TP,851.9246670020948,841.9246670020948,56,
2020-06-16,1,9978.97818610877,9952.21,2,SL,-1070.7274443508504,-1090.7274443508504,72,
2020-06-17,1,10002.34755914734,9987.52,2,SL,-593.1023658935737,-613.1023658935737,28,
2020-06-17,-1,10006.409944861069,10013.64,1,BE,-144.6011027786153,-154.6011027786153,132,
2020-06-18,-1,9987.529732788607,9988.88,2,BE,-54.01068845567352,-74.01068845567352,18,
2020-06-18,1,9977.170293405774,9990.712351844648,2,TP,541.6823375549575,531.6823375549575,35,
2020-06-18,-1,9990.698539864954,10001.03,2,SL,-413.2584054018662,-433.2584054018662,40,
2020-06-18,1,9978.44467622145,9965.13,2,SL,-532.5870488580404,-552.5870488580404,53,
2020-06-18,-1,9991.229466384708,9994.71,2,BE,-139.22134461165115,-159.22134461165115,88,
2020-06-22,-1,10010.71177027323,10022.92,4,SL,-976.658378141583,-1016.658378141583,24,
2020-06-23,1,10188.236715076795,10205.742494366741,2,TP,700.2311715978431,690.2311715978431,30,
2020-06-23,-1,10205.98,10187.635852696903,2,TP,733.7658921238472,723.7658921238472,36,
2020-06-23,-1,10204.875983979626,10216.85,2,SL,-478.9606408149848,-498.9606408149848,49,
2020-06-24,1,10203.929945343609,10182.88,2,SL,-841.9978137443832,-861.9978137443832,20,
2020-06-24,1,10171.86,10155.25,1,SL,-332.20000000001164,-342.20000000001164,22,
2020-06-29,-1,9804.294557971478,9827.57,1,SL,-465.5088405704373,-475.5088405704373,33,
2020-07-01,1,10167.038676753677,10149.04,2,SL,-719.9470701470273,-739.9470701470273,25,
2020-07-01,-1,10183.964128105168,10201.74,1,SL,-355.51743789663306,-365.51743789663306,39,
2020-07-02,1,10409.430326523885,10422.163239774616,3,TP,763.9747950438687,748.9747950438687,47,
2020-07-02,1,10408.684064939178,10396.07,3,SL,-756.8438963506924,-786.8438963506924,58,
2020-07-06,1,10494.893859972452,10503.222556744866,4,TP,666.2957417931466,646.2957417931466,18,
2020-07-06,1,10495.446393267646,10503.566721722525,4,TP,649.626276390336,629.626276390336,21,
2020-07-06,1,10495.275609239497,10503.474827566815,4,TP,655.9374661854235,635.9374661854235,24,
2020-07-07,-1,10631.73,10641.13,3,SL,-563.9999999999782,-593.9999999999782,18,
2020-07-07,1,10644.236711298527,10625.75,1,SL,-369.73422597053286,-379.73422597053286,217,
2020-07-08,1,10623.075364110176,10636.798027720184,3,TP,823.3598166004595,808.3598166004595,71,
2020-07-08,1,10621.201280431058,10637.280203798502,2,TP,643.1569346977631,633.1569346977631,81,
2020-07-08,1,10622.193380561412,10609.47,2,SL,-508.93522245649365,-528.9352224564936,93,
2020-07-08,1,10607.17,10603.6,1,SL,-71.39999999999418,-81.39999999999418,95,
2020-07-09,-1,10740.427537838728,10754.7,1,SL,-285.4492432254483,-295.4492432254483,34,
2020-07-09,1,10721.973107974862,10699.82,1,SL,-443.0621594972399,-453.0621594972399,48,
2020-07-13,1,10977.357254064622,10959.97,2,SL,-695.4901625849016,-715.4901625849016,33,
2020-07-13,1,10968.19,10999.938692271806,2,TP,1269.9476908722136,1259.9476908722136,41,
2020-07-13,-1,11000.5,11001.65,1,BE,-22.999999999992724,-32.999999999992724,54,
2020-07-13,1,11007.199278423645,10987.39,1,SL,-396.18556847290165,-406.18556847290165,208,
2020-07-14,1,10574.852121218388,10538.04,1,SL,-736.2424243677378,-746.2424243677378,19,
2020-07-14,1,10522.2,10503.55,4,SL,-1492.0000000001164,-1532.0000000001164,21,
2020-07-14,1,10469.95,10424.3,1,SL,-913.0000000000291,-923.0000000000291,23,
2020-07-15,-1,10739.49,10759.53,2,SL,-801.6000000000349,-821.6000000000349,13,
2020-07-15,-1,10765.13,10777.75,4,SL,-1009.600000000064,-1049.600000000064,15,
2020-07-15,-1,10762.14,10722.958718918591,1,TP,783.6256216281618,778.6256216281618,27,
2020-07-15,1,10716.7,10708.63,1,BE,-161.40000000003056,-171.40000000003056,46,
2020-07-15,-1,10751.125919713148,10723.69198288137,1,TP,548.6787366355566,543.6787366355566,87,
2020-07-15,1,10723.480494762185,10680.45,1,SL,-860.6098952436878,-870.6098952436878,94,
2020-07-16,1,10574.49,10601.33098777272,2,TP,1073.6395109088335,1063.6395109088335,21,
2020-07-16,-1,10604.1,10579.663319483549,2,TP,977.4672206580726,967.4672206580726,26,
2020-07-16,1,10578.828178004695,10563.15,1,SL,-313.56356009389856,-323.56356009389856,31,
2020-07-16,1,10551.587040191807,10529.98,1,SL,-432.1408038361551,-442.1408038361551,88,
2020-07-20,-1,10671.000752696355,10692.52,1,SL,-430.38494607291796,-440.38494607291796,24,
2020-07-22,1,10865.675191997881,10849.13,1,SL,-330.9038399576457,-340.9038399576457,74,
2020-07-23,-1,10852.26,10861.77,3,SL,-570.6000000000131,-600.6000000000131,16,
2020-07-23,1,10842.715725122762,10816.84,1,SL,-517.514502455233,-527.514502455233,42,
2020-07-27,1,10594.806458474975,10625.34441962162,1,TP,610.759222932902,605.759222932902,76,
2020-07-28,-1,10630.724962043872,10616.127740435206,2,TP,583.8888643466635,573.8888643466635,20,
2020-07-28,1,10600.64,10591.39,1,SL,-185.0,-195.0,22,
2020-07-28,-1,10625.889152161282,10631.89,1,BE,-120.01695677434327,-130.01695677434327,86,
2020-07-28,-1,10630.637127728613,10645.99,1,SL,-307.0574454277448,-317.0574454277448,124,
2020-07-28,1,10610.084057343496,10637.916154263712,1,TP,556.6419384043184,551.6419384043184,189,
2020-07-29,1,10606.597286676662,10600.24,4,SL,-508.58293413301,-548.58293413301,15,
2020-07-29,1,10604.357676540792,10588.92,3,SL,-926.2605924475429,-956.2605924475429,20,
2020-07-29,-1,10612.633997959323,10626.04,2,SL,-536.2400816271111,-556.2400816271111,32,
