date,time,volume
2026-08-13,12:45,180286
2026-08-13,12:50,160969
2026-08-13,12:55,126149
2026-08-13,13:00,156097
2026-08-13,13:05,168554
2026-08-13,13:10,121079
2026-08-13,13:15,139804
2026-08-13,13:20,122761
2026-08-13,13:25,134965
2026-08-13,13:30,139366
2026-08-13,13:35,170159
2026-08-13,13:40,115385
2026-08-13,13:45,109112
2026-08-13,13:50,86696
2026-08-13,13:55,148652
2026-08-13,14:00,137327
2026-08-13,14:05,335929
2026-08-13,14:10,201122
2026-08-13,14:15,468879
2026-08-13,14:20,225428
2026-08-13,14:25,253739
2026-08-13,14:30,236949
2026-08-13,14:35,252989
2026-08-13,14:40,251157
2026-08-13,14:45,166152
2026-08-13,14:50,244315
2026-08-13,14:55,176845
2026-08-13,15:00,292028
2026-08-13,15:05,309207
2026-08-13,15:10,399339
2026-08-13,15:15,470137
2026-08-13,15:20,318573
2026-08-13,15:25,312743
2026-08-13,15:30,648879
2026-08-13,15:35,1055543
2026-08-13,15:40,394536
2026-08-13,15:45,715586
2026-08-13,15:50,1408773
2026-08-13,15:55,2781625
2026-08-14,09:30,1160934
2026-08-14,09:35,478796
2026-08-14,09:40,509871
2026-08-14,09:45,335338
2026-08-14,09:50,384936
2026-08-14,09:55,228278
2026-08-14,10:00,232658
2026-08-14,10:05,274925
2026-08-14,10:10,205626
2026-08-14,10:15,353296
2026-08-14,10:20,414251
2026-08-14,10:25,381514
2026-08-14,10:30,435292
2026-08-14,10:35,277615
2026-08-14,10:40,225269
2026-08-14,10:45,298480
2026-08-14,10:50,253978
2026-08-14,10:55,199305
2026-08-14,11:00,186300
2026-08-14,11:05,223936
2026-08-14,11:10,238187
2026-08-14,11:15,265969
2026-08-14,11:20,463188
2026-08-14,11:25,485454
2026-08-14,11:30,430442
2026-08-14,11:35,381075
2026-08-14,11:40,349847
2026-08-14,11:45,346623
2026-08-14,11:50,358905
2026-08-14,11:55,218846
2026-08-14,12:00,283320
2026-08-14,12:05,189294
2026-08-14,12:10,359889
2026-08-14,12:15,463051
2026-08-14,12:20,208944
2026-08-14,12:25,206619
2026-08-14,12:30,266514
2026-08-14,12:35,202947
2026-08-14,12:40,183890
2026-08-14,12:45,180390
2026-08-14,12:50,180647
2026-08-14,12:55,233654
2026-08-14,13:00,183720
2026-08-14,13:05,169827
2026-08-14,13:10,224927
2026-08-14,13:15,138172
2026-08-14,13:20,206717
2026-08-14,13:25,134375
2026-08-14,13:30,172892
2026-08-14,13:35,148579
2026-08-14,13:40,238174
2026-08-14,13:45,188872
2026-08-14,13:50,154521
2026-08-14,13:55,124476
2026-08-14,14:00,490127
2026-08-14,14:05,195210
2026-08-14,14:10,236277
2026-08-14,14:15,504091
2026-08-14,14:20,200261
2026-08-14,14:25,131096
2026-08-14,14:30,182489
2026-08-14,14:35,311403
2026-08-14,14:40,220569
2026-08-14,14:45,165278
2026-08-14,14:50,279514
2026-08-14,14:55,123002
2026-08-14,15:00,212320
2026-08-14,15:05,109170
2026-08-14,15:10,406662
2026-08-14,15:15,478012
2026-08-14,15:20,375563
2026-08-14,15:25,218832
2026-08-14,15:30,314674
2026-08-14,15:35,643297
2026-08-14,15:40,290616
2026-08-14,15:45,398764
2026-08-14,15:50,620968
2026-08-14,15:55,1512056
2026-08-17,09:30,1534766
2026-08-17,09:35,495067
2026-08-17,09:40,234312
2026-08-17,09:45,491370
2026-08-17,09:50,256324
2026-08-17,09:55,272021
2026-08-17,10:00,352408
2026-08-17,10:05,324799
2026-08-17,10:10,267380
2026-08-17,10:15,250538
2026-08-17,10:20,208298
2026-08-17,10:25,303355
2026-08-17,10:30,262806
2026-08-17,10:35,247573
2026-08-17,10:40,249271
2026-08-17,10:45,254667
2026-08-17,10:50,461284
2026-08-17,10:55,327036
2026-08-17,11:00,260821
2026-08-17,11:05,202964
2026-08-17,11:10,171675
2026-08-17,11:15,200356
2026-08-17,11:20,233700
2026-08-17,11:25,171067
2026-08-17,11:30,208647
2026-08-17,11:35,265539
2026-08-17,11:40,412020
2026-08-17,11:45,210075
2026-08-17,11:50,250662
2026-08-17,11:55,161832
2026-08-17,12:00,152249
2026-08-17,12:05,200896
2026-08-17,12:10,218467
2026-08-17,12:15,142448
2026-08-17,12:20,138618
2026-08-17,12:25,119019
2026-08-17,12:30,153351
2026-08-17,12:35,129886
2026-08-17,12:40,162965
2026-08-17,12:45,213328
2026-08-17,12:50,180503
2026-08-17,12:55,205635
2026-08-17,13:00,203950
2026-08-17,13:05,242930
2026-08-17,13:10,294702
2026-08-17,13:15,349125
2026-08-17,13:20,438645
2026-08-17,13:25,357085
2026-08-17,13:30,401629
2026-08-17,13:35,274573
2026-08-17,13:40,426708
2026-08-17,13:45,209291
2026-08-17,13:50,243333
2026-08-17,13:55,179368
2026-08-17,14:00,416637
2026-08-17,14:05,309578
2026-08-17,14:10,260321
2026-08-17,14:15,237162
2026-08-17,14:20,297506
2026-08-17,14:25,230399
2026-08-17,14:30,387643
2026-08-17,14:35,193441
2026-08-17,14:40,239373
2026-08-17,14:45,286347
2026-08-17,14:50,222482
2026-08-17,14:55,170976
2026-08-17,15:00,298525
2026-08-17,15:05,303874
2026-08-17,15:10,579610
2026-08-17,15:15,285425
2026-08-17,15:20,258956
2026-08-17,15:25,295472
2026-08-17,15:30,624398
2026-08-17,15:35,604289
2026-08-17,15:40,583838
2026-08-17,15:45,842549
2026-08-17,15:50,1025199
2026-08-17,15:55,4905007
2026-08-18,09:30,2622640
2026-08-18,09:35,756092
2026-08-18,09:40,636495
2026-08-18,09:45,689642
2026-08-18,09:50,472300
2026-08-18,09:55,373690
2026-08-18,10:00,485647
2026-08-18,10:05,541217
2026-08-18,10:10,806006
2026-08-18,10:15,508100
2026-08-18,10:20,456557
